screen_id,screen_name,platform,user_role,purpose,required_data,primary_actions,empty_state,loading_state,error_state,permission,moderation_requirement,release,change_vs_current_ui
M-AUTH-001,Splash,Mobile,Guest / authenticated,"Initialize app, restore session and route safely.",App version; session; feature flags; environment status.,Continue automatically; retry startup.,Not applicable; branded neutral splash.,Logo plus startup progress.,Configuration/session error with retry and support link.,Public; no protected data.,None; Store-safe imagery only.,V1,New official screen; prototype starts at Welcome.
M-AUTH-002,Welcome,Mobile,Guest,Introduce MyFan as an 18+ Social Creator network.,Localized copy; legal links; auth-provider availability.,Register; log in; open Terms/Privacy.,Not applicable.,Disable auth buttons while provider config loads.,Provider unavailable; show email fallback.,Public.,Marketing copy and imagery must pass policy review.,V1,Retain A1 layout; replace “ẩn danh & kinh tế quà tặng” with Social Creator 18+ positioning.
M-AUTH-003,Đăng ký,Mobile,Guest,Create an adult user account.,Email; password or OTP method; consent version; rate-limit state.,Submit registration; use approved OAuth; open login.,Not applicable.,Submitting state; prevent duplicate taps.,"Validation, duplicate account, rate limit, provider error.",Public endpoint with abuse controls.,Username/email copy only; no UGC yet.,V1,Missing from prototype as a dedicated form; add 18+ precondition and no gendered financial role.
M-AUTH-004,Đăng nhập,Mobile,Guest,Authenticate an existing user.,Email; password/OAuth availability; lockout state.,Log in; continue with approved OAuth; forgot password.,Not applicable.,Submitting and session creation state.,"Invalid credentials, disabled account, network/provider error.",Public endpoint with rate limiting.,None.,V1,Keep A2 visual foundation; add suspended/deleted-account handling.
M-AUTH-005,Quên mật khẩu,Mobile,Guest,Request secure password reset.,Email; captcha/rate-limit result.,Send reset link/OTP; return to login.,Not applicable.,Sending state.,Generic error that does not reveal account existence.,Public endpoint with rate limiting.,None.,V1,New; required companion to A2 “Quên mật khẩu?”.
M-AUTH-006,Đặt lại mật khẩu,Mobile,Guest with valid reset token,Set a new password from a verified reset session.,Reset token/session; password policy.,Set password; return to login.,Expired-link guidance.,Submitting.,Expired/used token; weak password; network error.,Valid reset token only.,None.,V1,New.
M-AUTH-007,Xác nhận email hoặc OTP,Mobile,Guest / pending user,Verify account ownership.,Masked destination; OTP expiry; resend cooldown; attempt count.,Enter OTP; resend; change email.,Not applicable.,Verification and resend state.,Wrong/expired OTP; too many attempts; network error.,Pending account only.,None.,V1,"Retain A3; add expiry, attempt limits and accessible resend status."
M-AUTH-008,Nhập ngày sinh,Mobile,Verified pending user,Collect DOB and enforce minimum age.,Date of birth; current date; country/rule version.,Enter DOB; continue.,Not applicable.,Validation only.,Under-18 rejection; invalid/future date.,Verified pending user.,Age data is private; no public display by default.,V1,New mandatory screen before Social access.
M-AUTH-009,Xác nhận 18+,Mobile,Verified pending adult,Record explicit adult confirmation and explain 18+ restriction.,DOB result; age-policy version.,Confirm; exit/delete pending signup.,Not applicable.,Saving acceptance.,Cannot save; age conflict; policy unavailable.,Only users calculated as 18+.,Safety copy reviewed; no bypass path.,V1,New mandatory screen.
M-AUTH-010,Chấp nhận Điều khoản & Quyền riêng tư,Mobile,Verified pending adult,Record required legal acceptance before account activation.,Terms/Privacy versions; locale; acceptance timestamp.,Read; accept; decline and exit.,Not applicable.,Loading legal documents and saving acceptance.,Document unavailable; version changed; save failed.,Pending adult user.,Legal content controlled and versioned.,V1,New; links from Welcome are not sufficient.
